MeasureID,PlotID,Plot,Family,GenusSpecies,Genus,SpeciesName,SubSpeciesName,SpeciesID,Mnemonic,QuadratID,QuadratName,x,y,gx,gy,TreeID,Tag,StemID,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,ListOfTSM,Status
2,1,bci,Lecythidaceae,Gustavia superba,Gustavia,superba,NULL,460,gustsu,1250,4924,28.2,16.6,994.1,488.3,19,000002,1,NA,main,6,6,304,3,2005-10-14,"B,cylY",alive
3,1,bci,Myristicaceae,Virola surinamensis,Virola,surinamensis,NULL,1075,virosu,1250,4924,21,17.8,990.5,488.9,21,000004,1,NA,main,6,6,357,1.3,2005-10-11,NULL,alive
4,1,bci,Malvaceae,Quararibea asterolepis,Quararibea,asterolepis,NULL,871,quaras,1250,4924,27,36.6,993.5,498.3,23,000006,7,NULL,main,6,6,313,3,2005-10-14,"B,cylY",alive
8550,1,bci,Euphorbiaceae,Sapium glandulosum,Sapium,glandulosum,NULL,921,sapiau,1250,4924,1.2,9.8,980.6,484.9,10986,014886,1,NA,main,6,6,192,1.3,2005-10-11,NULL,alive
8551,1,bci,Burseraceae,Trattinnickia aspera,Trattinnickia,aspera,NULL,1022,tratas,1250,4924,3.8,5,981.9,482.5,10987,014900,1,NA,main,6,6,468,1.3,2005-10-11,NULL,alive
11681,1,bci,Bignoniaceae,Jacaranda copaia,Jacaranda,copaia,NULL,540,jac1co,1250,4924,8.2,26.4,984.1,493.2,15681,019761,1,NA,main,6,6,150,1.3,2005-10-11,NULL,alive
11682,1,bci,Sapotaceae,Chrysophyllum argenteum,Chrysophyllum,argenteum,NULL,1118,chr2ar,1250,4924,8.2,24.4,984.1,492.2,15682,019762,1,NA,main,6,6,52,1.3,2005-10-11,NULL,alive
11683,1,bci,Fabaceae-papilionoideae,Pterocarpus rohrii,Pterocarpus,rohrii,NULL,869,pterro,1250,4924,9,36,984.5,498,15683,019763,2,NA,main,6,6,NA,NA,2005-10-11,"D,T",dead
11684,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,4.4,30.4,982.2,495.2,15684,019764,1,NA,main,6,6,23,1.3,2005-10-11,NULL,alive
11685,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,10.4,31,985.2,495.5,15686,019766,7,NULL,main,6,6,NA,NA,2005-10-11,"D,C",dead
11686,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,12,28.4,986,494.2,15687,019767,1,NA,main,6,6,32,1.3,2005-10-11,L,alive
11687,1,bci,Salicaceae,Laetia thamnia,Laetia,thamnia,NULL,553,laetth,1250,4924,13,29,986.5,494.5,15688,019768,1,NA,main,6,6,44,1.3,2005-10-11,L,alive
11688,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,24.6,32.8,992.3,496.4,15689,019769,1,NA,main,6,6,21,1.3,2005-10-11,L,alive
11689,1,bci,Chrysobalanaceae,Hirtella triandra,Hirtella,triandra,NULL,487,hirttr,1250,4924,29.6,39,994.8,499.5,15691,019771,1,NA,main,6,6,38,1.3,2005-10-11,NULL,alive
11690,1,bci,Meliaceae,Guarea guidonia,Guarea,guidonia,NULL,435,guargu,1250,4924,38.6,39.2,999.3,499.6,15694,019774,2,NA,main,6,6,NA,NA,2005-10-11,"D,C",dead
11691,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,34,31.4,997,495.7,15695,019775,10,NULL,main,6,6,17,1.3,2005-10-11,M,alive
11692,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,34,31.4,997,495.7,15695,019775,11,NULL,secondary,6,6,13,1.3,2005-10-11,NULL,alive
11693,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,38.4,10.6,999.2,485.3,15696,019776,1,NA,main,6,6,18,1.3,2005-10-11,NULL,alive
11694,1,bci,Malvaceae,Herrania purpurea,Herrania,purpurea,NULL,478,herrpu,1250,4924,39.4,11.8,999.7,485.9,15697,019777,4,NULL,main,6,6,20,1.3,2005-10-11,NULL,alive
11695,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,8.4,29,984.2,494.5,15698,019778,11,NULL,main,6,6,33,1.3,2005-10-11,M,alive
11696,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,8.4,29,984.2,494.5,15698,019778,12,NULL,secondary,6,6,20,1.3,2005-10-11,NULL,alive
11697,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,8.4,29,984.2,494.5,15698,019778,13,NULL,secondary,6,6,17,1.3,2005-10-11,NULL,alive
11698,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,8.4,29,984.2,494.5,15698,019778,14,NULL,secondary,6,6,17,1.3,2005-10-11,NULL,alive
11699,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,8.4,29,984.2,494.5,15698,019778,15,NULL,secondary,6,6,14,1.3,2005-10-11,NULL,alive
11700,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,8.4,29,984.2,494.5,15698,019778,16,NULL,secondary,6,6,14,1.3,2005-10-11,NULL,alive
11701,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,8.4,29,984.2,494.5,15698,019778,17,NULL,secondary,6,6,14,1.3,2005-10-11,NULL,alive
11702,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,8.4,29,984.2,494.5,15698,019778,18,NULL,secondary,6,6,13,1.3,2005-10-11,NULL,alive
80690,1,bci,Fabaceae-papilionoideae,Andira inermis,Andira,inermis,NULL,46,andiin,1250,4924,5,3.8,982.5,481.9,113203,129161,1,NA,main,6,6,47,1.3,2005-10-11,NULL,alive
80691,1,bci,Burseraceae,Protium costaricense,Protium,costaricense,NULL,825,protco,1250,4924,6,6.2,983,483.1,113204,129162,1,NA,main,6,6,NA,NA,2005-10-11,"D,S",dead
80692,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,4,7,982,483.5,113205,129163,1,NA,main,6,6,42,1.3,2005-10-11,NULL,alive
80693,1,bci,Fabaceae-papilionoideae,Swartzia simplex,Swartzia,simplex,var.ochnacea,980,swars2,1250,4924,9,5,984.5,482.5,113208,129166,1,NA,main,6,6,40,1.3,2005-10-11,NULL,alive
80694,1,bci,Fabaceae-caesalpinioideae,Tachigali versicolor,Tachigali,versicolor,NULL,995,tachve,1250,4924,4.4,13.2,982.2,486.6,113209,129167,8,NULL,main,6,6,29,1.3,2005-10-11,M,alive
80695,1,bci,Fabaceae-caesalpinioideae,Tachigali versicolor,Tachigali,versicolor,NULL,995,tachve,1250,4924,4.4,13.2,982.2,486.6,113209,129167,9,NULL,secondary,6,6,16,1.3,2005-10-11,NULL,alive
80696,1,bci,Myrsinaceae,Stylogyne turbacensis,Stylogyne,turbacensis,NULL,1166,stylst,1250,4924,2.4,13,981.2,486.5,113210,129168,8,NULL,main,6,6,NA,NA,2005-10-11,"D,S",dead
80697,1,bci,Rubiaceae,Psychotria horizontalis,Psychotria,horizontalis,NULL,850,psycho,1250,4924,4.8,28.2,982.4,494.1,113213,129172,2,NA,main,6,6,NA,NA,2005-10-11,"D,C",dead
80698,1,bci,Moraceae,Trophis caucana,Trophis,caucana,NULL,1170,olmeas,1250,4924,5.2,27.6,982.6,493.8,113214,129173,9,NULL,main,6,6,NA,NA,2005-10-11,"D,T",dead
80699,1,bci,Rubiaceae,Faramea occidentalis,Faramea,occidentalis,NULL,379,faraoc,1250,4924,0.6,30.2,980.3,495.1,113216,129175,1,NA,main,6,6,61,1.3,2005-10-11,NULL,alive
80700,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,5,31.4,982.5,495.7,113217,129176,1,NA,main,6,6,27,1.3,2005-10-11,NULL,alive
80701,1,bci,Rubiaceae,Psychotria horizontalis,Psychotria,horizontalis,NULL,850,psycho,1250,4924,6.6,32,983.3,496,113218,129177,1,NA,main,6,6,28,1.3,2005-10-11,NULL,alive
80702,1,bci,Rubiaceae,Psychotria horizontalis,Psychotria,horizontalis,NULL,850,psycho,1250,4924,7.8,32.6,983.9,496.3,113219,129178,1,NA,main,6,6,NA,NA,2005-10-11,"D,S",dead
80703,1,bci,Myrsinaceae,Stylogyne turbacensis,Stylogyne,turbacensis,NULL,1166,stylst,1250,4924,8.6,33.6,984.3,496.8,113220,129179,2,NA,main,6,6,18,1.3,2005-10-11,NULL,alive
80704,1,bci,Boraginaceae,Cordia lasiocalyx,Cordia,lasiocalyx,NULL,269,cordla,1250,4924,5.2,33.6,982.6,496.8,113222,129181,1,NA,main,6,6,30,1.3,2005-10-11,NULL,alive
80705,1,bci,Sapindaceae,Talisia nervosa,Talisia,nervosa,NULL,998,taline,1250,4924,8,37.6,984,498.8,113225,129185,1,NA,main,6,6,27,1.3,2005-10-11,NULL,alive
80706,1,bci,Burseraceae,Tetragastris panamensis,Tetragastris,panamensis,NULL,1007,tet2pa,1250,4924,7.8,38.2,983.9,499.1,113227,129187,1,NA,main,6,6,45,1.3,2005-10-11,NULL,alive
80707,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,6,37.6,983,498.8,113228,129189,1,NA,main,6,6,30,1.3,2005-10-11,NULL,alive
80708,1,bci,Burseraceae,Protium tenuifolium,Protium,tenuifolium,NULL,828,protte,1250,4924,1,39.6,980.5,499.8,113229,129190,1,NA,main,6,6,79,1.3,2005-10-11,NULL,alive
80709,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,1.6,39.2,980.8,499.6,113230,129191,1,NA,main,6,6,39,1.3,2005-10-11,NULL,alive
80710,1,bci,Rubiaceae,Faramea occidentalis,Faramea,occidentalis,NULL,379,faraoc,1250,4924,0.8,37.2,980.4,498.6,113231,129192,2,NA,main,6,6,16,1.3,2005-10-11,NULL,alive
80711,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,10.6,36.4,985.3,498.2,113233,129194,1,NA,main,6,6,20,1.3,2005-10-11,NULL,alive
80712,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,12,34.8,986,497.4,113235,129196,1,NA,main,6,6,15,1.3,2005-10-11,NULL,alive
80713,1,bci,Siparunaceae,Siparuna pauciflora,Siparuna,pauciflora,NULL,940,sipapa,1250,4924,14,33.6,987,496.8,113236,129197,23,NULL,main,6,6,NA,NA,2005-10-11,R,alive
80714,1,bci,Moraceae,Sorocea affinis,Sorocea,affinis,NULL,958,soroaf,1250,4924,14.8,39.4,987.4,499.7,113240,129202,1,NA,main,6,6,45,1.3,2005-10-11,NULL,alive
80715,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,14,26.4,987,493.2,113244,129206,1,NA,main,6,6,33,1.3,2005-10-11,NULL,alive
80716,1,bci,Malvaceae,Quararibea asterolepis,Quararibea,asterolepis,NULL,871,quaras,1250,4924,17,27,988.5,493.5,113245,129207,1,NA,main,6,6,22,1.3,2005-10-11,NULL,alive
80717,1,bci,Clusiaceae,Chrysochlamys eclipes,Chrysochlamys,eclipes,NULL,198,chr1ec,1250,4924,12.2,6.4,986.1,483.2,113250,129215,13,NULL,main,6,6,72,1.3,2005-10-11,NULL,alive
80718,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,13,8.4,986.5,484.2,113251,129216,5,NULL,main,6,6,19,1.3,2005-10-11,M,alive
80719,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,13,8.4,986.5,484.2,113251,129216,6,NULL,secondary,6,6,10,1.3,2005-10-11,NULL,alive
80720,1,bci,Fabaceae-papilionoideae,Pterocarpus rohrii,Pterocarpus,rohrii,NULL,869,pterro,1250,4924,22.2,3.8,991.1,481.9,113252,129217,1,NA,main,6,6,83,1.3,2005-10-11,NULL,alive
80721,1,bci,Arecaceae,Oenocarpus mapora,Oenocarpus,mapora,NULL,1145,oenoma,1250,4924,25,3.2,992.5,481.6,113253,129218,33,NULL,main,6,6,114,1.3,2005-10-11,M,alive
80722,1,bci,Arecaceae,Oenocarpus mapora,Oenocarpus,mapora,NULL,1145,oenoma,1250,4924,25,3.2,992.5,481.6,113253,129218,34,NULL,secondary,6,6,109,1.3,2005-10-11,NULL,alive
80723,1,bci,Arecaceae,Oenocarpus mapora,Oenocarpus,mapora,NULL,1145,oenoma,1250,4924,25,3.2,992.5,481.6,113253,129218,35,NULL,secondary,6,6,99,1.3,2005-10-11,NULL,alive
80724,1,bci,Arecaceae,Oenocarpus mapora,Oenocarpus,mapora,NULL,1145,oenoma,1250,4924,25,3.2,992.5,481.6,113253,129218,36,NULL,secondary,6,6,95,1.3,2005-10-11,NULL,alive
80725,1,bci,Arecaceae,Oenocarpus mapora,Oenocarpus,mapora,NULL,1145,oenoma,1250,4924,25,3.2,992.5,481.6,113253,129218,37,NULL,secondary,6,6,83,1.3,2005-10-11,NULL,alive
80726,1,bci,Burseraceae,Tetragastris panamensis,Tetragastris,panamensis,NULL,1007,tet2pa,1250,4924,23.6,9,991.8,484.5,113255,129220,1,NA,main,6,6,132,1.3,2005-10-11,NULL,alive
80727,1,bci,Capparaceae,Capparis frondosa,Capparis,frondosa,NULL,149,cappfr,1250,4924,23,9.6,991.5,484.8,113256,129221,6,NULL,main,6,6,31,1.3,2005-10-11,M,alive
80728,1,bci,Capparaceae,Capparis frondosa,Capparis,frondosa,NULL,149,cappfr,1250,4924,23,9.6,991.5,484.8,113256,129221,7,NULL,secondary,6,6,16,1.3,2005-10-11,NULL,alive
80729,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,22.4,9.2,991.2,484.6,113257,129222,1,NA,main,6,6,18,1.3,2005-10-11,NULL,alive
80730,1,bci,Chrysobalanaceae,Hirtella triandra,Hirtella,triandra,NULL,487,hirttr,1250,4924,21,10.2,990.5,485.1,113259,129224,4,NULL,main,6,6,40,1.3,2005-10-11,M,alive
80731,1,bci,Chrysobalanaceae,Hirtella triandra,Hirtella,triandra,NULL,487,hirttr,1250,4924,21,10.2,990.5,485.1,113259,129224,5,NULL,secondary,6,6,36,1.3,2005-10-11,NULL,alive
80732,1,bci,Erythropalaceae,Heisteria concinna,Heisteria,concinna,NULL,469,heisco,1250,4924,21.6,10,990.8,485,113260,129225,1,NA,main,6,6,30,1.3,2005-10-11,NULL,alive
80733,1,bci,Annonaceae,Desmopsis panamensis,Desmopsis,panamensis,NULL,316,des2pa,1250,4924,29.6,10.8,994.8,485.4,113264,129229,7,NULL,main,6,6,22,1.3,2005-10-11,M,alive
80734,1,bci,Annonaceae,Desmopsis panamensis,Desmopsis,panamensis,NULL,316,des2pa,1250,4924,29.6,10.8,994.8,485.4,113264,129229,8,NULL,secondary,6,6,12,1.3,2005-10-11,NULL,alive
80735,1,bci,Moraceae,Brosimum alicastrum,Brosimum,alicastrum,NULL,108,brosal,1250,4924,29.2,11,994.6,485.5,113265,129230,1,NA,main,6,6,38,1.3,2005-10-11,NULL,alive
80736,1,bci,Ochnaceae,Ouratea lucens,Ouratea,lucens,NULL,729,ouralu,1250,4924,28.2,13.8,994.1,486.9,113266,129231,1,NA,main,6,6,24,1.3,2005-10-11,NULL,alive
80737,1,bci,Rubiaceae,Faramea occidentalis,Faramea,occidentalis,NULL,379,faraoc,1250,4924,29,14,994.5,487,113267,129232,1,NA,main,6,6,32,1.3,2005-10-11,NULL,alive
80738,1,bci,Myrtaceae,Eugenia galalonensis,Eugenia,galalonensis,NULL,360,eugega,1250,4924,30.4,17,995.2,488.5,113268,129233,1,NA,main,6,6,33,1.3,2005-10-11,NULL,alive
80739,1,bci,Myristicaceae,Virola surinamensis,Virola,surinamensis,NULL,1075,virosu,1250,4924,27,14.8,993.5,487.4,113269,129234,1,NA,main,6,6,355,1.3,2005-10-14,"B,cylN",alive
80740,1,bci,Myristicaceae,Virola surinamensis,Virola,surinamensis,NULL,1075,virosu,1250,4924,27,14.8,993.5,487.4,113269,129234,1,NA,main,6,6,299,3,2005-10-14,"B,cylY",alive
80741,1,bci,Moraceae,Brosimum alicastrum,Brosimum,alicastrum,NULL,108,brosal,1250,4924,26,18,993,489,113271,129236,1,NA,main,6,6,48,1.3,2005-10-11,NULL,alive
80742,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,26,18.6,993,489.3,113272,129237,3,NULL,main,6,6,31,1.3,2005-10-11,NULL,alive
80743,1,bci,Moraceae,Poulsenia armata,Poulsenia,armata,NULL,802,poular,1250,4924,24,19.6,992,489.8,113273,129238,1,NA,main,6,6,48,1.3,2005-10-11,NULL,alive
80744,1,bci,Moraceae,Sorocea affinis,Sorocea,affinis,NULL,958,soroaf,1250,4924,27.8,18.6,993.9,489.3,113275,129241,1,NA,main,6,6,13,1.3,2005-10-11,NULL,alive
80745,1,bci,Myristicaceae,Virola sebifera,Virola,sebifera,NULL,1072,virose,1250,4924,28.8,22.2,994.4,491.1,113276,129242,1,NA,main,6,6,73,1.3,2005-10-11,NULL,alive
80746,1,bci,Fabaceae-papilionoideae,Swartzia simplex,Swartzia,simplex,var.ochnacea,980,swars2,1250,4924,27,23,993.5,491.5,113277,129243,1,NA,main,6,6,21,1.3,2005-10-11,NULL,alive
80747,1,bci,Rubiaceae,Faramea occidentalis,Faramea,occidentalis,NULL,379,faraoc,1250,4924,29.4,23.4,994.7,491.7,113278,129244,1,NA,main,6,6,24,1.3,2005-10-11,NULL,alive
80748,1,bci,Rubiaceae,Faramea occidentalis,Faramea,occidentalis,NULL,379,faraoc,1250,4924,24.4,28,992.2,494,113280,129246,1,NA,main,6,6,NA,NA,2005-10-11,"D,S",dead
80749,1,bci,Chrysobalanaceae,Hirtella triandra,Hirtella,triandra,NULL,487,hirttr,1250,4924,21.8,27,990.9,493.5,113281,129247,1,NA,main,6,6,123,1.3,2005-10-11,NULL,alive
80750,1,bci,Rubiaceae,Alseis blackiana,Alseis,blackiana,NULL,33,alsebl,1250,4924,22.4,26.8,991.2,493.4,113282,129248,1,NA,main,6,6,220,1.3,2005-10-11,NULL,alive
80751,1,bci,Sapindaceae,Talisia nervosa,Talisia,nervosa,NULL,998,taline,1250,4924,27.6,30.2,993.8,495.1,113285,129251,1,NA,main,6,6,33,1.3,2005-10-11,NULL,alive
80752,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,28.2,39.4,994.1,499.7,113288,129255,1,NA,main,6,6,26,1.3,2005-10-11,NULL,alive
80753,1,bci,Salicaceae,Casearia aculeata,Casearia,aculeata,NULL,158,caseac,1250,4924,24.4,39.2,992.2,499.6,113289,129256,8,NULL,main,6,6,NA,NA,2005-10-11,R,alive
80754,1,bci,Fabaceae-papilionoideae,Ormosia coccinea,Ormosia,coccinea,NULL,1146,ormocr,1250,4924,25.8,38,992.9,499,113290,129257,2,NA,main,6,6,NA,NA,2005-10-11,OR,alive
80755,1,bci,Fabaceae-mimosoideae,Inga pezizifera,Inga,pezizifera,NULL,516,ingape,1250,4924,32.8,31.6,996.4,495.8,113292,129259,1,NA,main,6,6,65,1.3,2005-10-11,NULL,alive
80756,1,bci,Chrysobalanaceae,Hirtella triandra,Hirtella,triandra,NULL,487,hirttr,1250,4924,32.2,30,996.1,495,113294,129261,1,NA,main,6,6,34,1.2,2005-10-11,NULL,alive
80757,1,bci,Burseraceae,Protium panamense,Protium,panamense,NULL,827,protpa,1250,4924,39.4,31.4,999.7,495.7,113296,129263,1,NA,main,6,6,32,1.3,2005-10-11,NULL,alive
80758,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,36.6,36.8,998.3,498.4,113298,129265,1,NA,main,6,6,27,1.3,2005-10-11,NULL,alive
80759,1,bci,Rubiaceae,Faramea occidentalis,Faramea,occidentalis,NULL,379,faraoc,1250,4924,32.4,21.8,996.2,490.9,113300,129267,1,NA,main,6,6,41,1.3,2005-10-11,NULL,alive
80760,1,bci,Chrysobalanaceae,Hirtella triandra,Hirtella,triandra,NULL,487,hirttr,1250,4924,35.8,19.6,997.9,489.8,113304,129271,1,NA,main,6,6,197,1.3,2005-10-11,NULL,alive
80761,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,32.4,18.4,996.2,489.2,113305,129272,11,NULL,main,6,6,37,1.3,2005-10-11,R,alive
80762,1,bci,Malvaceae,Quararibea asterolepis,Quararibea,asterolepis,NULL,871,quaras,1250,4924,32.8,13.8,996.4,486.9,113307,129274,1,NA,main,6,6,55,1.3,2005-10-11,NULL,alive
80763,1,bci,Myristicaceae,Virola sebifera,Virola,sebifera,NULL,1072,virose,1250,4924,32.4,10.2,996.2,485.1,113308,129275,1,NA,main,6,6,34,1.3,2005-10-11,NULL,alive
80764,1,bci,Clusiaceae,Chrysochlamys eclipes,Chrysochlamys,eclipes,NULL,198,chr1ec,1250,4924,38.2,11.4,999.1,485.7,113312,129279,2,NA,main,6,6,NA,NA,2005-10-11,"D,N",dead
80765,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,38.4,10.2,999.2,485.1,113313,129280,1,NA,main,6,6,18,1.3,2005-10-11,NULL,alive
80766,1,bci,Moraceae,Sorocea affinis,Sorocea,affinis,NULL,958,soroaf,1250,4924,38.2,2,999.1,481,113319,129286,1,NA,main,6,6,47,1.3,2005-10-11,NULL,alive
80767,1,bci,Elaeocarpaceae,Sloanea terniflora,Sloanea,terniflora,NULL,1162,sloate,1250,4924,37.8,2.2,998.9,481.1,113320,129287,1,NA,main,6,6,170,1.3,2005-10-11,Q,alive
192736,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,4.6,5.4,982.3,482.7,268468,314569,1,NA,main,6,6,29,1.3,2005-10-11,NULL,alive
192737,1,bci,Rutaceae,Zanthoxylum acuminatum,Zanthoxylum,acuminatum,NULL,1099,zantpr,1250,4924,4.2,7.2,982.1,483.6,268469,314570,1,NA,main,6,6,26,1.3,2005-10-11,NULL,alive
192738,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,5,16.8,982.5,488.4,268470,314571,1,NA,main,6,6,NA,NA,2005-10-11,"D,N",dead
192739,1,bci,Chrysobalanaceae,Hirtella triandra,Hirtella,triandra,NULL,487,hirttr,1250,4924,7.8,27.4,983.9,493.7,268473,314574,1,NA,main,6,6,14,1.3,2005-10-11,NULL,alive
192740,1,bci,Piperaceae,Piper aequale,Piper,aequale,NULL,765,pipeae,1250,4924,3.2,22.8,981.6,491.4,268477,314578,14,NULL,main,6,6,31,1.3,2005-10-11,"L,M",alive
192741,1,bci,Piperaceae,Piper aequale,Piper,aequale,NULL,765,pipeae,1250,4924,3.2,22.8,981.6,491.4,268477,314578,15,NULL,secondary,6,6,23,1.3,2005-10-11,NULL,alive
192742,1,bci,Burseraceae,Tetragastris panamensis,Tetragastris,panamensis,NULL,1007,tet2pa,1250,4924,6.4,23.4,983.2,491.7,268478,314579,1,NA,main,6,6,25,1.3,2005-10-11,NULL,alive
